                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.63128,                0.86831,                 0.9147,                 1.0158,                0.71688,                0.57416,                0.63903,                 0.5215,                0.72286,                0.57895,                0.64377,                0.53882,                0.79924,                 1.3569,                 1.2815,                 1.1562,                0.00604,                0.00604,                0.00604
                     42,                0.62199,                0.87959,                0.91208,                 1.0129,                0.73061,                0.54502,                0.62689,                0.51323,                0.73703,                 0.5498,                0.62981,                0.54356,                0.78822,                 1.3003,                 1.3432,                 1.1574,               0.005941,               0.005941,               0.005941
                     43,                 0.6137,                0.85099,                0.89162,                 1.0072,                0.69128,                0.54545,                0.58525,                0.48395,                0.69735,                0.55024,                0.59364,                0.50434,                0.75799,                 1.2711,                  1.279,                 1.1502,               0.005842,               0.005842,               0.005842
                     44,                0.61059,                0.86926,                0.87164,                0.99943,                0.73349,                0.56625,                0.63201,                 0.5254,                0.73349,                0.56625,                0.63204,                 0.5534,                0.74255,                 1.2915,                 1.2352,                 1.1384,               0.005743,               0.005743,               0.005743
                     45,                0.59048,                0.86577,                0.87614,                0.98666,                0.63772,                0.59799,                 0.5873,                0.48447,                0.63662,                0.61244,                0.58951,                0.50204,                0.76398,                 1.3043,                 1.3245,                 1.1545,               0.005644,               0.005644,               0.005644
                     46,                0.57905,                0.84606,                0.86076,                0.98077,                 0.6504,                 0.5933,                0.61834,                0.51218,                0.65565,                0.59809,                0.61698,                0.51364,                0.77775,                  1.329,                 1.2769,                 1.1598,               0.005545,               0.005545,               0.005545
                     47,                0.59421,                0.81009,                0.87819,                0.98943,                0.69796,                0.55981,                0.61824,                0.50385,                0.69796,                0.55981,                0.61753,                0.52903,                0.74045,                 1.3643,                 1.2744,                 1.1301,               0.005446,               0.005446,               0.005446
                     48,                 0.5892,                0.80069,                0.84312,                0.98828,                0.69537,                0.57895,                0.61967,                0.50682,                0.69537,                0.57895,                0.61768,                0.52582,                0.74718,                  1.325,                 1.2515,                 1.1294,               0.005347,               0.005347,               0.005347
                     49,                 0.5753,                0.80387,                0.81067,                 0.9819,                0.60008,                0.57435,                0.59367,                0.49375,                0.58368,                0.60766,                0.60189,                0.51682,                0.76713,                 1.4488,                 1.2693,                 1.1597,               0.005248,               0.005248,               0.005248
                     50,                0.58184,                0.81872,                0.80735,                0.99035,                0.72763,                0.54067,                0.63283,                0.50915,                0.72763,                0.54067,                0.63438,                0.53658,                0.78047,                  1.317,                 1.3301,                 1.1711,               0.005149,               0.005149,               0.005149
